slug,platform,ntsc
super-baseball-2020,snes,yes
super-baseball-simulator-1000,snes,yes
super-bases-loaded,snes,yes
super-bases-loaded-2,snes,yes
super-bases-loaded-3-license-to-steal,snes,yes
super-batter-up,snes,yes
super-battleship,snes,yes
super-battletank-2,snes,yes
super-black-bass,snes,yes
super-bomberman,snes,yes
super-bomberman-2,snes,yes
super-bonk,snes,yes
super-bowling,snes,yes
super-buster-bros,snes,yes
super-caesars-palace,snes,yes
super-castlevania-iv,snes,yes
super-chase-hq,snes,yes
super-conflict,snes,yes
super-double-dragon,snes,yes
super-earth-defense-force,snes,yes
super-ghouls-n-ghosts,snes,yes
super-goal-2,snes,yes
super-godzilla,snes,yes
super-high-impact,snes,yes
super-james-pond,snes,yes
super-mario-all-stars,snes,yes
super-mario-all-stars-super-mario-world,snes,yes
super-mario-kart,snes,yes
super-mario-rpg-legend-of-the-seven-stars,snes,yes
super-mario-world,snes,yes
super-mario-world-2-yoshis-island,snes,yes
super-metroid,snes,yes
super-ninja-boy,snes,yes
super-nova,snes,yes
super-off-road,snes,yes
super-off-road-the-baja,snes,yes
super-pinball-behind-the-mask,snes,yes
super-play-action-football,snes,yes
super-punch-out,snes,yes
super-putty,snes,yes
super-rbi-baseball,snes,yes
super-r-type,snes,yes
super-scope-6,snes,yes
super-slam-dunk,snes,yes
super-slap-shot,snes,yes
super-smash-tv,snes,yes
super-soccer,snes,yes
super-soccer-champ,snes,yes
super-solitaire,snes,yes
super-star-wars,snes,yes
super-star-wars-the-empire-strikes-back,snes,yes
super-star-wars-return-of-the-jedi,snes,yes
super-street-fighter-ii-the-new-challengers,snes,yes
super-strike-eagle,snes,yes
super-tennis,snes,yes
super-troll-islands,snes,yes
super-turrican,snes,yes
super-turrican-2,snes,yes
super-valis-iv,snes,yes
super-widget,snes,yes
suzuka-8-hours,snes,yes
swat-kats-the-radical-squadron,snes,yes
syndicate,snes,yes
t2-the-arcade-game,snes,yes
taz-mania,snes,yes
tecmo-super-baseball,snes,yes
tecmo-super-bowl,snes,yes
tecmo-super-bowl-ii-special-edition,snes,yes
tecmo-super-bowl-iii-final-edition,snes,yes
tecmo-super-nba-basketball,snes,yes
teenage-mutant-ninja-turtles-iv-turtles-in-time,snes,yes
teenage-mutant-ninja-turtles-tournament-fighters,snes,yes
the-terminator,snes,yes
terminator-2-judgment-day,snes,yes
tetris-and-dr-mario,snes,yes
tetris-2,snes,yes
tetris-attack,snes,yes
thomas-the-tank-engine-and-friends,snes,yes
thunder-spirits,snes,yes
the-tick,snes,yes
time-slip,snes,yes
time-trax,snes,yes
timecop,snes,yes
timon-and-pumbaas-jungle-games,snes,yes
tin-star,snes,yes
tiny-toon-adventures-buster-busts-loose,snes,yes
tiny-toon-adventures-wacky-sports-challenge,snes,yes
tko-super-championship-boxing,snes,yes
tnn-bass-tournament-of-champions,snes,yes
todd-mcfarlanes-spawn-the-video-game,snes,yes
tom-and-jerry,snes,yes
tommy-moes-winter-extreme-skiing-and-snowboarding,snes,yes
tony-meolas-sidekicks-soccer,snes,yes
top-gear,snes,yes
top-gear-2,snes,yes
top-gear-3000,snes,yes
total-carnage,snes,yes
toy-story,snes,yes
toys,snes,yes
troddlers,snes,yes
troy-aikman-nfl-football,snes,yes
true-golf-wicked-18,snes,yes
true-golf-classics-pebble-beach-golf-links,snes,yes
true-golf-classics-waialae-country-club,snes,yes
true-lies,snes,yes
tuff-e-nuff,snes,yes
turn-and-burn-no-fly-zone,snes,yes
the-twisted-tales-of-spike-mcfang,snes,yes
un-squadron,snes,yes
ultima-runes-of-virtue-ii,snes,yes
ultima-vi-the-false-prophet,snes,yes
ultima-vii-the-black-gate,snes,yes
ultimate-fighter,snes,yes
ultimate-mortal-kombat-3,snes,yes
ultraman-towards-the-future,snes,yes
uncharted-waters,snes,yes
uncharted-waters-new-horizons,snes,yes
uniracers,snes,yes
the-untouchables,snes,yes
urban-strike,snes,yes
